                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10647,                0.11861,               0.094774,                      0,                0.01549,                0.25321,                0.01411,              0.0046848,              0.0080392,                0.13141,              0.0049197,              0.0010732,               0.099086,               0.090255,                0.06698,                      0,                 0.0865,                 0.0015,                 0.0015
                      1,               0.094094,               0.098705,                0.11871,                      0,               0.019683,                0.39744,               0.029834,              0.0089173,              0.0098413,                0.19872,               0.007105,              0.0016394,               0.098052,               0.089473,               0.064189,                      0,               0.072069,              0.0030693,              0.0030693
                      2,               0.083997,               0.079476,                0.12224,                      0,                0.28034,                0.17949,                 0.1348,               0.045596,                0.24912,                0.16346,               0.099692,               0.025255,                0.08823,               0.087854,               0.061172,                      0,               0.057607,              0.0046069,              0.0046069
                      3,               0.081443,               0.068921,                0.11988,                      0,                0.21092,                0.24679,                0.14626,               0.040659,                0.27729,                0.24359,                0.16341,               0.042584,                0.08448,               0.080692,               0.061559,                      0,               0.043113,              0.0061129,              0.0061129
                      4,               0.078334,               0.063911,                 0.1267,                      0,                0.12882,                0.40385,                0.09572,               0.027918,                 0.1871,                0.32051,                0.12309,               0.036375,               0.085728,               0.065295,               0.056211,                      0,               0.028587,              0.0075872,              0.0075872
                      5,                0.07832,               0.062182,                0.11346,                      0,                0.32166,                0.34349,                0.28834,                0.12753,                  0.391,                0.32372,                0.28862,                0.13189,               0.080342,               0.073547,                0.05872,                      0,                0.01403,              0.0090297,              0.0090297
                      6,               0.078094,               0.058213,                0.10853,                      0,                 0.3083,                0.33333,                0.27098,                0.08149,                0.36717,                  0.375,                0.31656,                0.10792,               0.072518,               0.061422,                0.05957,                      0,               0.009406,               0.009406,               0.009406
                      7,               0.074223,               0.054104,                0.11122,                      0,                0.32561,                0.36859,                0.30623,               0.089814,                0.38204,                  0.375,                0.37169,                0.14243,               0.077007,               0.060844,               0.081352,                      0,               0.009406,               0.009406,               0.009406
                      8,                0.07573,                0.05545,                0.11434,                      0,                0.37874,                0.32692,                0.27242,                0.10776,                0.40043,                0.31731,                0.28331,                0.11267,                0.08228,                0.42872,               0.070446,                      0,               0.009307,               0.009307,               0.009307
                      9,               0.073166,               0.054281,                0.10098,                      0,                0.54423,                0.42949,                0.41211,                0.16577,                0.56524,                0.41987,                0.40712,                0.18193,               0.071443,               0.052844,               0.060637,                      0,               0.009208,               0.009208,               0.009208
                     10,               0.067728,               0.050997,                0.11592,                      0,                0.26535,                0.33333,                0.20514,               0.080648,                 0.2942,                 0.3046,                0.21202,               0.085949,               0.074439,                0.10671,               0.066713,                      0,               0.009109,               0.009109,               0.009109
                     11,               0.064725,               0.049703,                  0.102,                      0,                0.59259,                0.46621,                0.53429,                0.27528,                0.58852,                  0.463,                0.52176,                0.27324,                0.06578,               0.047092,               0.073551,                      0,                0.00901,                0.00901,                0.00901
                     12,               0.063087,               0.050049,               0.098748,                      0,                0.67011,                0.41346,                0.54099,                0.29109,                0.66757,                0.41026,                0.52767,                0.27902,               0.060035,               0.048642,                0.06064,                      0,               0.008911,               0.008911,               0.008911
                     13,               0.060122,               0.049508,               0.095455,                      0,                0.36753,                 0.4391,                0.34894,                0.18172,                0.37537,                 0.4359,                0.34781,                0.18121,               0.062179,               0.048246,               0.060658,                      0,               0.008812,               0.008812,               0.008812
                     14,               0.056346,               0.045648,               0.096963,                      0,                0.63262,                0.42949,                0.53215,                0.30097,                0.60851,                0.45513,                0.52576,                 0.2992,                0.05736,               0.049013,               0.058353,                      0,               0.008713,               0.008713,               0.008713
                     15,               0.057652,               0.044973,               0.096017,                      0,                0.48478,                0.39103,                0.39397,                0.19475,                0.47085,                0.39103,                0.35187,                0.17703,               0.059821,               0.063192,               0.061224,                      0,               0.008614,               0.008614,               0.008614
                     16,               0.058312,               0.054483,                0.10148,                      0,                0.68045,                0.55965,                 0.6706,                 0.3103,                0.67655,                0.55644,                0.65124,                0.32526,               0.053376,                0.04416,               0.054211,                      0,               0.008515,               0.008515,               0.008515
                     17,               0.052946,               0.046819,               0.093984,                      0,                0.63096,                    0.5,                0.54023,                0.28054,                0.59254,                0.48397,                0.46839,                0.25632,               0.052989,               0.057199,               0.058374,                      0,               0.008416,               0.008416,               0.008416
                     18,                0.05365,               0.044293,               0.090549,                      0,                0.42473,                0.66667,                0.53745,                0.29134,                0.41971,                0.62821,                0.51244,                0.29284,               0.051124,               0.044997,               0.053726,                      0,               0.008317,               0.008317,               0.008317
                     19,               0.052818,               0.042475,               0.091112,                      0,                0.45825,                 0.5641,                0.48988,                0.22701,                0.45934,                 0.5609,                0.46773,                0.25249,               0.052024,               0.045571,               0.055368,                      0,               0.008218,               0.008218,               0.008218
                     20,               0.050334,               0.042147,               0.089923,                      0,                0.60461,                0.60774,                0.60203,                0.37624,                0.58892,                 0.5641,                 0.5546,                0.31463,               0.047836,               0.059984,               0.059736,                      0,               0.008119,               0.008119,               0.008119
                     21,               0.050243,               0.044659,                0.09278,                      0,                0.49127,                0.67165,                0.58041,                0.33216,                0.48467,                0.66346,                0.56664,                0.31644,               0.050621,                 0.1023,               0.054405,                      0,                0.00802,                0.00802,                0.00802
                     22,               0.050532,               0.043808,               0.095486,                      0,                0.49342,                0.66667,                0.61651,                0.35524,                0.48868,                0.66026,                0.59903,                0.34183,               0.049302,               0.044021,               0.053688,                      0,               0.007921,               0.007921,               0.007921
                     23,               0.046296,               0.043529,               0.096182,                      0,                0.64016,                0.55449,                 0.5462,                 0.2992,                 0.6788,                    0.5,                0.50892,                0.27594,               0.054478,                0.10358,               0.059511,                      0,               0.007822,               0.007822,               0.007822
                     24,               0.046215,               0.042417,               0.091773,                      0,                0.73871,                0.65705,                0.73425,                0.47325,                0.73871,                0.65705,                0.71505,                0.44484,               0.045615,               0.042826,               0.051497,                      0,               0.007723,               0.007723,               0.007723
                     25,               0.045284,               0.040975,               0.083042,                      0,                0.62605,                0.53658,                0.58469,                0.33337,                0.72343,                0.45833,                0.53371,                0.29971,               0.049944,                0.05725,                0.06464,                      0,               0.007624,               0.007624,               0.007624
                     26,               0.043629,               0.041646,               0.087323,                      0,                0.61109,                0.73527,                0.68702,                0.41784,                0.61212,                0.73397,                0.67533,                0.41262,               0.044227,                0.04151,               0.053661,                      0,               0.007525,               0.007525,               0.007525
                     27,               0.041379,               0.038606,               0.081681,                      0,                0.73016,                0.71117,                0.76831,                0.49828,                0.72358,                0.70476,                0.74944,                0.45449,               0.041717,               0.042268,               0.048942,                      0,               0.007426,               0.007426,               0.007426
                     28,                0.04507,               0.040424,               0.084151,                      0,                0.72511,                0.69551,                0.74138,                0.48643,                0.72478,                0.69551,                0.72313,                0.46281,               0.044348,               0.041429,               0.050385,                      0,               0.007327,               0.007327,               0.007327
                     29,                 0.0407,               0.039147,               0.085373,                      0,                0.80133,                0.65705,                0.75791,                0.48141,                0.79593,                0.65705,                0.73464,                0.44872,               0.042067,               0.043991,               0.052384,                      0,               0.007228,               0.007228,               0.007228
                     30,               0.041564,                 0.0402,               0.088683,                      0,                0.78474,                0.66601,                0.74045,                0.40933,                0.77061,                0.64423,                0.69778,                0.39168,               0.045703,               0.047176,               0.058331,                      0,               0.007129,               0.007129,               0.007129
                     31,               0.039796,               0.039009,               0.085046,                      0,                0.87509,                0.67949,                 0.7897,                0.47228,                0.89456,                0.67982,                0.77531,                0.46711,               0.039001,               0.043284,               0.056664,                      0,                0.00703,                0.00703,                0.00703
                     32,               0.037724,               0.039575,               0.079052,                      0,                0.85558,                0.66457,                0.77706,                0.52042,                0.84744,                0.65705,                0.75301,                0.47472,               0.039727,                0.04521,               0.052577,                      0,               0.006931,               0.006931,               0.006931
                     33,               0.038136,               0.039265,               0.079992,                      0,                0.73931,                0.72436,                 0.7348,                0.49239,                0.74006,                0.72115,                0.71417,                0.45288,               0.040166,               0.044641,               0.050606,                      0,               0.006832,               0.006832,               0.006832
                     34,               0.040058,               0.041545,               0.080173,                      0,                0.82279,                0.71432,                0.80402,                0.54095,                0.80353,                0.73397,                0.78123,                0.49878,                0.03878,               0.044493,               0.050048,                      0,               0.006733,               0.006733,               0.006733
                     35,               0.039279,               0.036861,               0.074666,                      0,                0.68322,                0.73965,                0.72511,                0.46547,                0.67433,                0.73003,                0.69445,                0.44683,               0.041651,               0.042286,                0.05102,                      0,               0.006634,               0.006634,               0.006634
                     36,               0.040431,               0.037935,                0.07778,                      0,                0.72181,                0.73718,                0.78599,                0.52478,                0.73502,                0.73397,                0.76967,                 0.4954,                0.04051,               0.039949,               0.048752,                      0,               0.006535,               0.006535,               0.006535
                     37,               0.037975,               0.038401,               0.076974,                      0,                0.76515,                0.75641,                0.80779,                0.56417,                0.76623,                   0.75,                0.79187,                0.51054,                0.03669,               0.038005,               0.047082,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.03695,               0.038091,               0.079293,                      0,                 0.7629,                0.75962,                0.81682,                0.54011,                0.76719,                0.76282,                0.79821,                0.51995,               0.038006,                 0.0378,               0.047325,                      0,               0.006337,               0.006337,               0.006337
                     39,               0.035953,               0.035969,                0.07466,                      0,                0.87521,                0.77244,                0.85711,                0.59886,                0.87057,                0.76923,                 0.8378,                0.54851,               0.035148,               0.037568,               0.045539,                      0,               0.006238,               0.006238,               0.006238
                     40,               0.034371,               0.036574,               0.078743,                      0,                0.85525,                0.70192,                0.81584,                0.55889,                0.86576,                0.71795,                0.79462,                0.50835,               0.035342,               0.041449,               0.050461,                      0,               0.006139,               0.006139,               0.006139
                     41,               0.036637,               0.036467,               0.071179,                      0,                0.85306,                0.72568,                0.83499,                0.55575,                0.87928,                0.71154,                0.81299,                0.51653,               0.038273,               0.037953,               0.047575,                      0,                0.00604,                0.00604,                0.00604
                     42,               0.036725,               0.037597,               0.073034,                      0,                0.83681,                0.75605,                0.83036,                0.58425,                0.83786,                0.75321,                0.81785,                0.54047,               0.035906,               0.038569,               0.048863,                      0,               0.005941,               0.005941,               0.005941
                     43,               0.034054,                0.03508,               0.074063,                      0,                0.81191,                0.74713,                0.82906,                0.59759,                0.85413,                0.73718,                0.82609,                0.55183,                0.03497,               0.036394,               0.046381,                      0,               0.005842,               0.005842,               0.005842
                     44,               0.034885,               0.037341,               0.075494,                      0,                0.79626,                0.72115,                 0.7957,                0.55392,                0.78467,                0.67949,                0.74891,                0.48926,               0.037195,               0.041214,               0.049994,                      0,               0.005743,               0.005743,               0.005743
                     45,               0.033433,               0.036052,               0.077028,                      0,                0.85059,                0.77564,                0.84256,                0.58254,                0.82504,                0.74679,                 0.8118,                0.51404,               0.034978,               0.040682,               0.047404,                      0,               0.005644,               0.005644,               0.005644
                     46,               0.034511,               0.035306,               0.073126,                      0,                0.78002,                0.78526,                0.83059,                0.55568,                0.85221,                0.71795,                0.80653,                0.50957,                0.03658,               0.039517,               0.048854,                      0,               0.005545,               0.005545,               0.005545
                     47,               0.034418,               0.035057,               0.070179,                      0,                0.82036,                0.78846,                0.84578,                0.58202,                0.80374,                0.77564,                0.82079,                0.52583,               0.034921,               0.037734,               0.047277,                      0,               0.005446,               0.005446,               0.005446
                     48,               0.032877,               0.033163,               0.071503,                      0,                 0.8178,                0.74038,                0.82538,                0.57519,                0.83216,                0.73101,                0.81217,                0.51705,               0.036602,               0.038463,               0.047302,                      0,               0.005347,               0.005347,               0.005347
                     49,               0.033914,               0.035942,                 0.0754,                      0,                0.82307,                0.76042,                0.83495,                0.57395,                0.85976,                0.71795,                0.80572,                0.51258,                0.03531,               0.038701,                0.04735,                      0,               0.005248,               0.005248,               0.005248
                     50,                 0.0329,               0.036159,               0.074288,                      0,                 0.8213,                0.76923,                0.83384,                0.58865,                0.83315,                   0.75,                0.80887,                0.51311,               0.034332,               0.038106,                 0.0492,                      0,               0.005149,               0.005149,               0.005149
                     51,               0.031594,               0.036039,               0.069606,                      0,                0.84783,                0.71429,                0.81012,                0.56842,                0.89779,                0.67308,                0.77876,                0.49613,                0.03646,               0.037927,               0.052261,                      0,                0.00505,                0.00505,                0.00505
                     52,               0.030535,               0.033645,               0.069698,                      0,                0.87055,                0.75444,                  0.846,                0.62163,                0.87425,                0.75764,                0.83371,                0.54903,                0.03208,               0.035872,               0.047211,                      0,               0.004951,               0.004951,               0.004951
                     53,               0.031318,               0.034038,               0.072719,                      0,                0.85689,                0.72115,                0.81725,                0.58608,                0.87088,                0.72756,                0.79567,                0.52148,               0.033885,               0.039179,               0.048352,                      0,               0.004852,               0.004852,               0.004852
                     54,               0.032019,               0.034985,               0.067654,                      0,                0.82631,                0.76923,                0.83746,                0.59963,                 0.8332,                0.77564,                0.82825,                0.54961,               0.033856,               0.035737,               0.046809,                      0,               0.004753,               0.004753,               0.004753
                     55,               0.030564,               0.032925,               0.069281,                      0,                0.83981,                0.78973,                0.84992,                0.62994,                0.85392,                0.78205,                0.83673,                 0.5561,               0.031531,               0.035897,               0.045032,                      0,               0.004654,               0.004654,               0.004654
                     56,               0.031042,               0.032764,               0.063129,                      0,                0.84833,                0.78846,                0.84394,                0.60759,                0.83054,                0.77244,                0.81911,                0.55169,               0.032809,               0.036207,               0.045922,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.03144,                0.03417,               0.071489,                      0,                0.87299,                0.80128,                0.85862,                0.61148,                0.85977,                0.78605,                0.83435,                 0.5601,               0.033789,               0.035049,               0.044904,                      0,               0.004456,               0.004456,               0.004456
                     58,               0.030579,               0.033201,               0.065553,                      0,                0.86747,                0.75522,                0.84111,                 0.6081,                0.87276,                0.74679,                0.82018,                0.55044,               0.032813,                0.03522,               0.045885,                      0,               0.004357,               0.004357,               0.004357
                     59,               0.030011,               0.034748,               0.061435,                      0,                0.82342,                0.80128,                 0.8487,                0.62584,                0.81394,                0.78205,                0.82739,                0.53801,               0.031563,               0.035211,               0.046785,                      0,               0.004258,               0.004258,               0.004258
                     60,               0.028463,               0.031448,               0.061673,                      0,                0.85452,                0.77189,                0.84083,                0.61169,                0.86354,                0.71795,                0.81604,                0.54908,               0.033205,               0.035958,               0.046124,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.02885,               0.033636,               0.064307,                      0,                0.86686,                0.74038,                0.84843,                0.60263,                0.88866,                0.71633,                0.82602,                 0.5397,               0.034558,               0.034917,               0.045014,                      0,                0.00406,                0.00406,                0.00406
                     62,               0.029676,               0.033627,               0.063096,                      0,                0.84162,                0.76642,                0.84835,                0.61611,                0.80267,                0.77885,                0.81831,                0.54508,               0.033956,               0.034833,               0.046686,                      0,               0.003961,               0.003961,               0.003961
                     63,               0.028338,               0.033136,               0.061852,                      0,                0.86013,                0.79487,                0.85317,                0.61293,                0.83103,                0.76923,                0.82359,                0.55944,               0.033564,               0.035136,               0.046431,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.02643,               0.030591,               0.068539,                      0,                0.83207,                0.78205,                0.83966,                0.61725,                0.85041,                0.74707,                0.80898,                0.55996,                 0.0317,               0.035667,               0.046539,                      0,               0.003763,               0.003763,               0.003763
                     65,               0.026909,               0.032521,               0.069165,                      0,                0.85051,                0.78414,                0.84074,                0.62679,                0.82709,                0.75962,                0.80962,                0.54905,               0.031194,               0.036488,               0.045936,                      0,               0.003664,               0.003664,               0.003664
                     66,               0.027924,               0.032534,               0.060339,                      0,                0.87027,                0.77885,                0.86054,                0.62647,                0.86564,                0.76603,                0.83239,                0.55947,               0.031072,               0.037256,               0.045272,                      0,               0.003565,               0.003565,               0.003565
                     67,               0.027661,               0.032308,               0.065026,                      0,                0.86872,                0.78478,                 0.8524,                0.63424,                0.87447,                0.75913,                 0.8138,                0.55901,               0.029476,               0.036785,               0.045406,                      0,               0.003466,               0.003466,               0.003466
                     68,               0.027619,               0.032482,               0.062114,                      0,                0.88049,                0.75565,                0.85105,                0.63223,                0.87212,                0.74321,                0.81207,                0.55195,               0.030192,               0.037576,               0.045539,                      0,               0.003367,               0.003367,               0.003367
                     69,               0.026764,               0.033908,                0.06873,                      0,                0.82709,                0.82372,                 0.8563,                0.62913,                0.83219,                0.79487,                0.82391,                0.55337,               0.030712,               0.036501,               0.045655,                      0,               0.003268,               0.003268,               0.003268
                     70,               0.026494,               0.030863,               0.058025,                      0,                0.87519,                0.76416,                0.84634,                0.62011,                0.86434,                0.75559,                 0.8186,                 0.5406,               0.031211,               0.036607,               0.046854,                      0,               0.003169,               0.003169,               0.003169
                     71,               0.026888,               0.032481,               0.059459,                      0,                0.83208,                0.80998,                0.84797,                0.62329,                0.84052,                0.76017,                0.82157,                0.53315,               0.031785,               0.036292,               0.047565,                      0,                0.00307,                0.00307,                0.00307
                     72,               0.025699,               0.032153,                0.06264,                      0,                0.82352,                0.80765,                0.85162,                 0.6215,                0.88872,                0.71795,                0.81816,                0.53965,               0.031459,               0.036977,                0.04609,                      0,               0.002971,               0.002971,               0.002971
                     73,               0.026464,               0.031943,               0.062518,                      0,                 0.8328,                 0.7982,                0.85044,                0.61758,                0.86304,                0.72436,                0.81563,                0.53332,               0.031354,               0.036582,               0.046961,                      0,               0.002872,               0.002872,               0.002872
